"품목별(1)",2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022
"품목별(1)",매출액 (천원),국내판매액 (천원),수출액 (천원),매출액 (천원),국내판매액 (천원),수출액 (천원),매출액 (천원),국내판매액 (천원),수출액 (천원),매출액 (천원),국내판매액 (천원),수출액 (천원),매출액 (천원),국내판매액 (천원),수출액 (천원)
"프로바이오틱스",299367672,261543206,37824466,459358619,424155889,35202730,525628311,482155110,43473201,767687243,730945922,36741321,697739037,633909544,63829493
"홍국",999140,999140,-,748825,748825,-,676411,676411,-,925724,925724,-,42923316,42923316,-
"대두단백",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"테아닌",3894254,3885897,8357,3545405,3466280,79125,5623686,5622510,1176,7849913,7824341,25572,11341300,9529836,1811464
"엠에스엠",15180304,15132967,47337,19527692,19350267,177425,34033762,33870976,162786,66284154,66111879,172275,69363897,68714667,649230
"폴리감마글루탐산",40153,40153,-,83425,83425,-,5652099,5652099,-,5266069,5266069,-,2475467,2475467,-
"마늘",163746,163746,-,140640,140640,-,38094,38094,-,420422,420422,-,604145,604145,-
"빌베리추출물",67246,67246,-,111005,111005,-,203391,203391,-,351190,351190,-,444158,444158,-
"홍경천추출물",2850923,2834035,16888,2112526,2112526,-,2902160,1945694,956467,2385143,2385143,-,4235011,4235011,-
"히알루론산",6493142,6450525,42618,9651950,9220353,431597,13397517,13032616,364900,17217768,16919288,298480,10386080,9863901,522179
"난소화성말토덱스트린",14160594,13879480,281113,26288423,25736016,552407,23886780,23530707,356073,27193964,26427825,766139,32364426,31360458,1003968
"폴리덱스트로스",2926588,2926588,-,1165632,1165632,-,1669070,1669070,-,2592760,2592760,-,5957960,5957960,-
"기타",4182427,4182427,-,7780160,7769602,10558,12687829,12687829,-,19864520,19831268,33252,11801116,11707254,93862
"개별인정제품",322631759,306532271,16099488,548565971,517111505,31454466,654346210,593144438,61201772,846729867,769206707,77523161,851101248,803583426,47517822
